MQ2 to MQ9 - Calibracion
Note - Make sure you are in a clean room and the sensor has pre-heated almost 4 hours
Note - All values are in KOhms
Autonumeric, MQ2(R0), MQ3(R0), MQ4(R0), MQ5(R0), MQ6(R0), MQ7(R0), MQ8(R0), MQ9(R0), v2(VDC), v3(VDC), v4(VDC), v5(VDC), v6(VDC), v7(VDC), v8(VDC), v9(VDC)
MQ2 to MQ9 - Calibracion
Note - Make sure you are in a clean room and the sensor has pre-heated almost 4 hours
Note - All values are in KOhms
Autonumeric, MQ2(R0), MQ3(R0), MQ4(R0), MQ5(R0), MQ6(R0), MQ7(R0), MQ8(R0), MQ9(R0), v2(VDC), v3(VDC), v4(VDC), v5(VDC), v6(VDC), v7(VDC), v8(VDC), v9(VDC)
MQ2 to MQ9 - Calibracion
Note - Make sure you are in a clean room and the sensor has pre-heated almost 4 hours
Note - All values are in KOhms
Autonumeric, MQ2(R0), MQ3(R0), MQ4(R0), MQ5(R0), MQ6(R0), MQ7(R0), MQ8(R0), MQ9(R0), v2(VDC), v3(VDC), v4(VDC), v5(VDC), v6(VDC), v7(VDC), v8(VDC), v9(VDC)
0,11.00,4.00,50.00,72.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.48
1,11.00,4.00,50.00,72.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.51
2,11.00,4.00,51.00,72.00,13.00,4.00,1.00,8.00,0.42,0.19,0.21,0.10,0.34,0.37,0.52,0.53
3,11.00,4.00,51.00,72.00,14.00,4.00,1.00,10.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.47
4,10.00,4.00,51.00,72.00,14.00,4.00,1.00,10.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.46
5,11.00,4.00,51.00,72.00,14.00,4.00,1.00,10.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.46
6,11.00,4.00,51.00,72.00,14.00,4.00,1.00,10.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.47
7,11.00,4.00,51.00,72.00,14.00,4.00,1.00,10.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.47
8,11.00,4.00,51.00,72.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.47
9,11.00,4.00,51.00,72.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.47
10,11.00,4.00,52.00,73.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.48
11,11.00,4.00,52.00,73.00,13.00,4.00,1.00,9.00,0.41,0.19,0.21,0.10,0.33,0.37,0.52,0.48
12,10.00,4.00,51.00,72.00,13.00,4.00,1.00,9.00,0.43,0.19,0.21,0.10,0.34,0.37,0.52,0.48
13,10.00,4.00,50.00,71.00,13.00,4.00,1.00,9.00,0.43,0.19,0.21,0.11,0.33,0.37,0.52,0.48
14,10.00,4.00,50.00,70.00,13.00,4.00,1.00,9.00,0.42,0.19,0.21,0.11,0.33,0.37,0.52,0.48
